Name                 | Val 1               | Val 2               | Results             
Dasha                | 42527               | 4408                | 9.648
Martita              | 18228               | 8633                | 2.111
El                   | 49612               | 3212                | 15.446
Ruprecht             | 18177               | 5471                | 3.322
Cleopatra            | 90987               | 5886                | 15.458
Livvyy               | 89144               | 8152                | 10.935
Archer               | 3030                | 5256                | 0.576
Vanya                | 76205               | 2856                | 26.682
Ludvig               | 69207               | 6326                | 10.940
Effie                | 79908               | 1112                | 71.860
Khalil               | 35923               | 1965                | 18.281
Cleon                | 14230               | 5849                | 2.433
Vonny                | 26793               | 1633                | 16.407
Constanta            | 54463               | 1038                | 52.469
Dare                 | 75083               | 8627                | 8.703
Evered               | 7646                | 4120                | 1.856
Marietta             | 35013               | 8332                | 4.202
Josefina             | 72538               | 6170                | 11.757
Vitoria              | 30319               | 9632                | 3.148
Crissie              | 91010               | 5654                | 16.097
Elane                | 71420               | 6754                | 10.574
Conni                | 87895               | 8244                | 10.662
Joly                 | 16276               | 5532                | 2.942
Win                  | 31541               | 8843                | 3.567
Roselia              | 72762               | 5707                | 12.750
Maxy                 | 78970               | 6584                | 11.994
Betti                | 58937               | 8389                | 7.026
Callean              | 30999               | 8916                | 3.477
Gardie               | 2450                | 3126                | 0.784
Devondra             | 67450               | 400                 | 168.625
Allegra              | 98593               | 6068                | 16.248
Sally                | 81485               | 1355                | 60.137
Happy                | 10408               | 5976                | 1.742
Mable                | 42882               | 6301                | 6.806
Jemie                | 80169               | 2735                | 29.312
Padgett              | 39551               | 5073                | 7.796
Lauryn               | 26248               | 5609                | 4.680
Roddy                | 7127                | 3002                | 2.374
Katy                 | 56049               | 6850                | 8.182
Domeniga             | 86517               | 7730                | 11.192
Georgia              | 77732               | 3146                | 24.708
Jules                | 27902               | 342                 | 81.585
Gauthier             | 44357               | 2328                | 19.054
Ana                  | 83747               | 4163                | 20.117
Emilie               | 14081               | 3216                | 4.378
Derby                | 8399                | 3146                | 2.670
Sandy                | 6873                | 5603                | 1.227
Isidro               | 2263                | 7203                | 0.314
Delphine             | 55141               | 3579                | 15.407
Freida               | 37824               | 2191                | 17.263
Levi                 | 15794               | 7830                | 2.017
Wynn                 | 29509               | 7285                | 4.051
Merle                | 38190               | 433                 | 88.199
Jaquelin             | 35621               | 9726                | 3.662
Aindrea              | 96870               | 1250                | 77.496
Matteo               | 70935               | 1447                | 49.022
Rafaelita            | 84187               | 1503                | 56.013
Darnall              | 47115               | 849                 | 55.495
Panchito             | 63924               | 1072                | 59.631
Lenette              | 88076               | 8012                | 10.993
Ludovico             | 37339               | 5634                | 6.627
Fred                 | 84532               | 6619                | 12.771
Seka                 | 31970               | 5694                | 5.615
Chas                 | 21414               | 9222                | 2.322
Ernestine            | 81720               | 983                 | 83.133
Clarence             | 48246               | 6739                | 7.159
Esteban              | 42751               | 220                 | 194.323
Hobey                | 36675               | 3053                | 12.013
Ruby                 | 73461               | 5624                | 13.062
Michelle             | 58364               | 7422                | 7.864
Roman                | 10620               | 7322                | 1.450
Caye                 | 88431               | 7263                | 12.176
Gay                  | 92479               | 6453                | 14.331
Candida              | 5667                | 5116                | 1.108
Annette              | 42314               | 884                 | 47.867
Shannah              | 74542               | 6958                | 10.713
Auberon              | 52611               | 3308                | 15.904
Petey                | 61606               | 439                 | 140.333
Travers              | 70159               | 8534                | 8.221
Clair                | 95112               | 6748                | 14.095
Jervis               | 10324               | 4115                | 2.509
Holden               | 77131               | 1531                | 50.379
Constantia           | 8687                | 8724                | 0.996
Susanne              | 21273               | 4062                | 5.237
Mortie               | 70792               | 6021                | 11.758
Jameson              | 31662               | 803                 | 39.430
Tammy                | 66628               | 8926                | 7.464
Mitchael             | 47489               | 3864                | 12.290
Hyacinthie           | 28345               | 47                  | 603.085
Lura                 | 12930               | 8662                | 1.493
Joly                 | 60159               | 6655                | 9.040
Caressa              | 72349               | 6185                | 11.697
Minny                | 75127               | 3681                | 20.409
Marjorie             | 89600               | 4590                | 19.521
Fidelia              | 53581               | 8540                | 6.274
Ardra                | 53364               | 7323                | 7.287
Kally                | 91197               | 9060                | 10.066
Ceil                 | 34266               | 9949                | 3.444
Garv                 | 40957               | 7527                | 5.441
Ab                   | 60491               | 987                 | 61.288
Lynde                | 98140               | 1265                | 77.581
Tani                 | 24692               | 5527                | 4.468
Denyse               | 47103               | 4714                | 9.992
Anne-marie           | 78107               | 2498                | 31.268
Juliane              | 33198               | 4281                | 7.755
Giuditta             | 47710               | 9329                | 5.114
Marlene              | 26563               | 1805                | 14.716
Lina                 | 57804               | 1532                | 37.731
Coletta              | 52760               | 3281                | 16.080
Hedi                 | 8491                | 7504                | 1.132
Sloane               | 14142               | 2554                | 5.537
Wit                  | 7360                | 5430                | 1.355
Moreen               | 37938               | 9876                | 3.841
Janela               | 6064                | 8581                | 0.707
Caterina             | 85542               | 6683                | 12.800
Tull                 | 78652               | 9216                | 8.534
Waylon               | 14559               | 2845                | 5.117
Hunter               | 65368               | 5464                | 11.963
Stace                | 61214               | 9145                | 6.694
Adeline              | 94712               | 500                 | 189.424
Hobart               | 64805               | 9966                | 6.503
Brigitta             | 19932               | 1831                | 10.886
Latisha              | 5492                | 2796                | 1.964
Morrie               | 18849               | 3447                | 5.468
Jayson               | 68467               | 5850                | 11.704
Rancell              | 59575               | 7718                | 7.719
Hercules             | 36405               | 7446                | 4.889
Ellsworth            | 32439               | 1490                | 21.771
Neddie               | 75696               | 3137                | 24.130
Dillon               | 81979               | 4595                | 17.841
Garold               | 58882               | 1719                | 34.254
Giorgia              | 92987               | 577                 | 161.156
Ilse                 | 24427               | 2312                | 10.565
Clayborn             | 22885               | 6307                | 3.629
Orrin                | 17647               | 7272                | 2.427
Danica               | 50054               | 5535                | 9.043
Chrissie             | 10248               | 109                 | 94.018
Austen               | 8148                | 5295                | 1.539
Eric                 | 57415               | 8959                | 6.409
Candice              | 31444               | 7295                | 4.310
Barr                 | 52534               | 9752                | 5.387
Lethia               | 70387               | 7194                | 9.784
Layney               | 17218               | 2775                | 6.205
Mikol                | 96917               | 8885                | 10.908
Anissa               | 25636               | 2912                | 8.804
Joice                | 8208                | 9425                | 0.871
Sebastien            | 31790               | 8519                | 3.732
Mureil               | 77631               | 8553                | 9.076
Hollyanne            | 11807               | 1727                | 6.837
Scarlett             | 26728               | 9187                | 2.909
Corri                | 26807               | 1319                | 20.324
Allie                | 16347               | 6971                | 2.345
Nathanil             | 23812               | 3063                | 7.774
Alice                | 99484               | 5770                | 17.242
Dolph                | 47848               | 1344                | 35.601
Aldo                 | 77191               | 4354                | 17.729
Bar                  | 91822               | 2757                | 33.305
Latrina              | 79213               | 112                 | 707.259
Liva                 | 90967               | 8799                | 10.338
Odell                | 19533               | 5167                | 3.780
Anatollo             | 30299               | 3422                | 8.854
Hersch               | 92369               | 6443                | 14.336
Kym                  | 11850               | 9060                | 1.308
Ritchie              | 9043                | 931                 | 9.713
Phoebe               | 83346               | 2218                | 37.577
Corrie               | 93814               | 9344                | 10.040
Marice               | 12919               | 1927                | 6.704
Ragnar               | 39344               | 7337                | 5.362
Raddy                | 8509                | 4833                | 1.761
Wilhelmine           | 21683               | 6952                | 3.119
Marthe               | 40719               | 4403                | 9.248
Florie               | 12584               | 1720                | 7.316
Stanford             | 52177               | 2831                | 18.431
Archaimbaud          | 78908               | 90                  | 876.756
Luisa                | 30457               | 73                  | 417.219
Jocelin              | 17743               | 883                 | 20.094
Dewey                | 70091               | 8395                | 8.349
Codi                 | 88255               | 8169                | 10.804
Etan                 | 39799               | 1326                | 30.014
Trever               | 1423                | 5879                | 0.242
Patin                | 60408               | 943                 | 64.059
Lulita               | 27678               | 6460                | 4.285
Michelle             | 82147               | 4814                | 17.064
Catlaina             | 63839               | 7437                | 8.584
Harlen               | 5672                | 9305                | 0.610
Jeddy                | 55668               | 6761                | 8.234
Alexandr             | 85452               | 2713                | 31.497
Jessey               | 61083               | 2024                | 30.179
Anallise             | 5959                | 8728                | 0.683
Nolie                | 56025               | 613                 | 91.395
Olympe               | 88747               | 6239                | 14.225
Eustacia             | 79380               | 8610                | 9.220
Laurens              | 58633               | 8516                | 6.885
Violet               | 83421               | 4062                | 20.537
Nicoli               | 91830               | 8915                | 10.301
Hervey               | 4744                | 5977                | 0.794
Carey                | 68421               | 16                  | 4276.313
Marsiella            | 2589                | 3254                | 0.796
Nertie               | 89929               | 902                 | 99.700
Dorolice             | 14863               | 2000                | 7.432
Giorgi               | 70351               | 3574                | 19.684
Murial               | 46578               | 7867                | 5.921
Amabel               | 51390               | 6189                | 8.303
Cecil                | 92967               | 3912                | 23.765
Cordelie             | 78992               | 2639                | 29.933
Mannie               | 41688               | 2215                | 18.821
Imogene              | 23344               | 359                 | 65.025
Chrotoem             | 50062               | 1951                | 25.660
Phillis              | 45519               | 4309                | 10.564
Ezmeralda            | 25311               | 5945                | 4.258
Flin                 | 55832               | 4097                | 13.628
Betti                | 98529               | 4557                | 21.621
Aron                 | 55073               | 6115                | 9.006
Ichabod              | 23346               | 493                 | 47.355
Jeni                 | 40415               | 6266                | 6.450
Marylin              | 89611               | 591                 | 151.626
Abbot                | 62482               | 4399                | 14.204
Otha                 | 49069               | 7759                | 6.324
Hewitt               | 34498               | 286                 | 120.622
Swen                 | 27280               | 7909                | 3.449
Don                  | 83612               | 9272                | 9.018
Kata                 | 94886               | 719                 | 131.969
Brenden              | 30640               | 1512                | 20.265
Theodore             | 71485               | 7332                | 9.750
Fredericka           | 91297               | 4917                | 18.568
Fiann                | 80530               | 5620                | 14.329
Ruggiero             | 16835               | 3314                | 5.080
Celestyna            | 38222               | 1191                | 32.092
Felike               | 49082               | 3472                | 14.137
Ashlen               | 61019               | 9630                | 6.336
Claudell             | 93203               | 4619                | 20.178
Rhona                | 99580               | 2213                | 44.998
Germaine             | 51500               | 3925                | 13.121
Olivia               | 63461               | 5609                | 11.314
Torin                | 70026               | 8325                | 8.412
Rossie               | 69243               | 5332                | 12.986
Jonah                | 34944               | 5847                | 5.976
Gabbi                | 39704               | 6310                | 6.292
Morgun               | 14256               | 531                 | 26.847
Latashia             | 89423               | 8605                | 10.392
Gates                | 37957               | 4175                | 9.091
Helsa                | 99957               | 4008                | 24.939
Patricio             | 83604               | 6270                | 13.334
Mersey               | 36335               | 5140                | 7.069
Rurik                | 59346               | 5891                | 10.074
King                 | 13116               | 2777                | 4.723
Dionysus             | 92116               | 1020                | 90.310
Rossie               | 76978               | 6439                | 11.955
Nelie                | 33714               | 9264                | 3.639
Nealon               | 58921               | 6365                | 9.257
Dacie                | 51387               | 1217                | 42.224
Carlos               | 76697               | 1820                | 42.141
Ryann                | 60457               | 7790                | 7.761
Brandais             | 33741               | 5844                | 5.774
Haleigh              | 33970               | 3187                | 10.659
Sydel                | 39414               | 9342                | 4.219
Daryl                | 51554               | 7299                | 7.063
Joseph               | 20054               | 3140                | 6.387
Shadow               | 44738               | 107                 | 418.112
Tonya                | 86699               | 4540                | 19.097
Zarla                | 34954               | 8059                | 4.337
Jacki                | 15678               | 9758                | 1.607
Jerome               | 45754               | 4449                | 10.284
Domenico             | 3917                | 5904                | 0.663
Nora                 | 13251               | 1406                | 9.425
Heda                 | 56261               | 6179                | 9.105
Baird                | 905                 | 9761                | 0.093
Clara                | 76738               | 307                 | 249.961
Tanya                | 84477               | 9961                | 8.481
Mattie               | 64724               | 4120                | 15.710
Jaquenetta           | 65430               | 8045                | 8.133
Herve                | 44434               | 1529                | 29.061
Ester                | 14317               | 735                 | 19.479
Agata                | 30724               | 6100                | 5.037
Maxie                | 72586               | 9348                | 7.765
Axel                 | 44778               | 2965                | 15.102
Jillie               | 81759               | 2209                | 37.012
Wren                 | 16435               | 8723                | 1.884
Coleen               | 49662               | 8694                | 5.712
Kiah                 | 92085               | 7021                | 13.116
Fae                  | 2769                | 4839                | 0.572
Clyde                | 22199               | 6579                | 3.374
Holly                | 8700                | 125                 | 69.600
Revkah               | 72672               | 2338                | 31.083
Olav                 | 64750               | 5896                | 10.982
Sibbie               | 14921               | 5708                | 2.614
Jocelyn              | 60695               | 2276                | 26.667
Carmina              | 55194               | 6873                | 8.031
Courtnay             | 31987               | 8150                | 3.925
Michal               | 28863               | 5518                | 5.231
Rudie                | 65912               | 592                 | 111.338
Harmony              | 6158                | 5030                | 1.224
Augusta              | 6740                | 2242                | 3.006
Carey                | 69625               | 8408                | 8.281
Ag                   | 77146               | 8877                | 8.691
Wanda                | 19723               | 8411                | 2.345
Free                 | 6042                | 2472                | 2.444
Brunhilda            | 63442               | 4857                | 13.062
Jeanette             | 4169                | 4670                | 0.893
Rem                  | 42048               | 4630                | 9.082
Zuzana               | 20101               | 684                 | 29.387
Dehlia               | 97388               | 9125                | 10.673
Alanson              | 12180               | 2954                | 4.123
Sharyl               | 25606               | 7026                | 3.644
Terence              | 68199               | 1138                | 59.929
Peta                 | 3517                | 7860                | 0.447
Maudie               | 83864               | 2559                | 32.772
Mallory              | 76712               | 3467                | 22.126
Curry                | 18772               | 39                  | 481.333
Katrina              | 56844               | 7522                | 7.557
Terry                | 38993               | 9598                | 4.063
Ody                  | 52528               | 1410                | 37.254
Regina               | 65431               | 4483                | 14.595
Arda                 | 57034               | 4814                | 11.848
Thalia               | 39147               | 3030                | 12.920
Tiebout              | 70451               | 3621                | 19.456
Laverna              | 17590               | 8608                | 2.043
Jodi                 | 97672               | 4952                | 19.724
Rowney               | 56704               | 535                 | 105.989
Gerrie               | 69448               | 2526                | 27.493
Gwyn                 | 74235               | 3363                | 22.074
Renae                | 73698               | 996                 | 73.994
Flora                | 50215               | 4412                | 11.381
Lanny                | 4620                | 870                 | 5.310
Creigh               | 37167               | 4369                | 8.507
Wendeline            | 34273               | 8648                | 3.963
Freddie              | 32987               | 9244                | 3.568
Tobit                | 30802               | 8247                | 3.735
Elspeth              | 96131               | 2513                | 38.253
Drud                 | 65098               | 5373                | 12.116
Kipp                 | 29329               | 9539                | 3.075
Aaren                | 95046               | 8989                | 10.574
Mattias              | 37030               | 6976                | 5.308
Holden               | 88114               | 5124                | 17.196
Raquela              | 91503               | 9781                | 9.355
Valentina            | 14551               | 3521                | 4.133
Hermia               | 77926               | 5493                | 14.186
Adria                | 60150               | 1668                | 36.061
Serge                | 14200               | 1448                | 9.807
Michelle             | 17265               | 8577                | 2.013
Harris               | 69667               | 8889                | 7.837
Rois                 | 22603               | 9941                | 2.274
Berkeley             | 23519               | 940                 | 25.020
Jilly                | 81463               | 5598                | 14.552
Kiah                 | 69695               | 1321                | 52.759
Dave                 | 63987               | 584                 | 109.567
Harcourt             | 53458               | 4091                | 13.067
Vincents             | 13                  | 2174                | 0.006
Michal               | 16108               | 3825                | 4.211
Gelya                | 43145               | 220                 | 196.114
Marc                 | 22003               | 2342                | 9.395
Alma                 | 61994               | 4922                | 12.595
Amery                | 48015               | 931                 | 51.574
Priscella            | 44032               | 1546                | 28.481
Cornall              | 35859               | 7173                | 4.999
Cobby                | 62425               | 9892                | 6.311
Konstance            | 55205               | 6220                | 8.875
Pate                 | 96744               | 8089                | 11.960
Ilyse                | 79750               | 8580                | 9.295
Lemuel               | 96162               | 2268                | 42.399
Boris                | 21242               | 9178                | 2.314
Floris               | 19749               | 7013                | 2.816
Elisabetta           | 9763                | 8141                | 1.199
Julissa              | 59158               | 2781                | 21.272
Caressa              | 24390               | 5153                | 4.733
Bev                  | 86046               | 6334                | 13.585
Gisela               | 95013               | 3806                | 24.964
Matthieu             | 41987               | 855                 | 49.108
Chiquia              | 73408               | 6250                | 11.745
Emlyn                | 72207               | 9784                | 7.380
Noble                | 85583               | 9926                | 8.622
Stefania             | 21890               | 2779                | 7.877
Sol                  | 51933               | 5090                | 10.203
Melicent             | 29258               | 8895                | 3.289
Gabriela             | 58288               | 7736                | 7.535
Alysia               | 22718               | 2825                | 8.042
Kasey                | 60216               | 5564                | 10.822
Melania              | 65470               | 7940                | 8.246
Alexis               | 9126                | 5699                | 1.601
Maddie               | 42885               | 7174                | 5.978
Justino              | 12330               | 3386                | 3.641
Rachel               | 98337               | 9533                | 10.315
Courtnay             | 89247               | 3000                | 29.749
Guillema             | 48863               | 6332                | 7.717
Kleon                | 32526               | 6036                | 5.389
Susan                | 66444               | 3210                | 20.699
Hayyim               | 46146               | 4982                | 9.263
Gaspard              | 96337               | 4359                | 22.101
Tabbie               | 76242               | 8007                | 9.522
Bronnie              | 34934               | 9293                | 3.759
Layney               | 9674                | 3001                | 3.224
Cirillo              | 56832               | 1254                | 45.321
Carmel               | 23049               | 589                 | 39.132
Ronald               | 60927               | 9078                | 6.712
Herb                 | 23140               | 370                 | 62.541
Jocelyne             | 77856               | 708                 | 109.966
Riki                 | 83813               | 1474                | 56.861
Marjy                | 68355               | 3948                | 17.314
Huntlee              | 62521               | 2218                | 28.188
Aubry                | 55205               | 3084                | 17.900
Alvina               | 78374               | 2524                | 31.052
Pembroke             | 26548               | 9606                | 2.764
Myer                 | 90013               | 8085                | 11.133
Cosetta              | 49348               | 3884                | 12.705
Linoel               | 39435               | 943                 | 41.819
Junie                | 72304               | 1585                | 45.618
Cathie               | 7006                | 672                 | 10.426
Baudoin              | 76884               | 5027                | 15.294
Denys                | 93596               | 8049                | 11.628
Nerti                | 30827               | 5904                | 5.221
Roxanne              | 85266               | 9821                | 8.682
Morton               | 67123               | 2103                | 31.918
Jemimah              | 26257               | 4699                | 5.588
Gray                 | 16093               | 7756                | 2.075
Aubrie               | 22936               | 9393                | 2.442
Grannie              | 77057               | 9670                | 7.969
Anneliese            | 73390               | 1543                | 47.563
Karissa              | 22182               | 1126                | 19.700
Miltie               | 83200               | 7982                | 10.423
Fidelity             | 11455               | 4216                | 2.717
Roselia              | 84299               | 1354                | 62.259
Wilfred              | 94591               | 3217                | 29.403
Bertrando            | 94811               | 3888                | 24.386
Theo                 | 6508                | 409                 | 15.912
Wendye               | 4383                | 1172                | 3.740
Belinda              | 44515               | 3070                | 14.500
Jerry                | 21935               | 6828                | 3.213
Albertina            | 459                 | 9982                | 0.046
Anna                 | 66940               | 2952                | 22.676
Rees                 | 15580               | 7814                | 1.994
Cobbie               | 36798               | 3404                | 10.810
Lev                  | 39660               | 7798                | 5.086
Lesley               | 72894               | 217                 | 335.917
Arnie                | 92514               | 7728                | 11.971
Trish                | 58182               | 5450                | 10.676
Teador               | 94016               | 353                 | 266.334
Regen                | 50177               | 542                 | 92.577
Gregoor              | 495                 | 7527                | 0.066
Dayle                | 24670               | 280                 | 88.107
Sallie               | 83960               | 1697                | 49.476
Lanette              | 20227               | 8654                | 2.337
Tuckie               | 32572               | 7287                | 4.470
Artemis              | 86836               | 678                 | 128.077
Nikolos              | 1404                | 3310                | 0.424
Adina                | 2632                | 8220                | 0.320
Dix                  | 96603               | 1161                | 83.207
Rosella              | 44078               | 6367                | 6.923
Shannah              | 97875               | 4391                | 22.290
Quinn                | 21266               | 5447                | 3.904
Berget               | 65339               | 5682                | 11.499
Thaddeus             | 93550               | 7538                | 12.410
Heddi                | 69880               | 5779                | 12.092
Cristian             | 3230                | 7171                | 0.450
Shelby               | 72241               | 8968                | 8.055
Wynn                 | 28271               | 1855                | 15.240
Ellerey              | 13361               | 5746                | 2.325
Bram                 | 9189                | 882                 | 10.418
Neill                | 44355               | 9536                | 4.651
Fiann                | 75249               | 5229                | 14.391
Kaiser               | 10855               | 3982                | 2.726
Rinaldo              | 63126               | 5109                | 12.356
Barn                 | 83334               | 5468                | 15.240
Clem                 | 32822               | 983                 | 33.390
Tye                  | 79559               | 3982                | 19.980
Maggi                | 80598               | 5168                | 15.596
Gayla                | 91444               | 4841                | 18.889
Tiena                | 12516               | 4714                | 2.655
Nels                 | 54389               | 4128                | 13.176
Ossie                | 33235               | 3410                | 9.746
Leeanne              | 17171               | 8545                | 2.009
Shaine               | 76714               | 3624                | 21.168
Nealson              | 40941               | 2794                | 14.653
Nathan               | 42105               | 3319                | 12.686
Sheila-kathryn       | 90984               | 9525                | 9.552
Clark                | 57527               | 6703                | 8.582
Jamil                | 92140               | 6376                | 14.451
Herminia             | 37527               | 3384                | 11.090
Lamont               | 49907               | 6060                | 8.235
Ami                  | 75510               | 1315                | 57.422
Henrietta            | 7069                | 36                  | 196.361
Raffaello            | 3370                | 1154                | 2.920
Dalt                 | 54342               | 9244                | 5.879
Jerad                | 2362                | 5552                | 0.425
Izzy                 | 88361               | 9390                | 9.410
Artie                | 34889               | 3758                | 9.284
Lalo                 | 20479               | 7022                | 2.916
Teodoor              | 53602               | 557                 | 96.233
Haily                | 57215               | 9184                | 6.230
Glen                 | 54692               | 579                 | 94.459
Ase                  | 85990               | 1888                | 45.546
Margy                | 95442               | 3962                | 24.089
Verene               | 82885               | 3512                | 23.601
Jeniece              | 38358               | 8805                | 4.356
Alana                | 63831               | 5210                | 12.252
Gwendolin            | 26025               | 1160                | 22.435
Almeda               | 73086               | 4376                | 16.702
Rosella              | 44856               | 3826                | 11.724
Buddy                | 56054               | 9961                | 5.627
Theresita            | 27000               | 9753                | 2.768
Nikolas              | 48175               | 2226                | 21.642
Renado               | 13282               | 8492                | 1.564
Tildie               | 20693               | 2780                | 7.444
Daniele              | 93275               | 5326                | 17.513
Brendin              | 50190               | 4884                | 10.276
Minny                | 6481                | 1843                | 3.517
Evonne               | 36389               | 1216                | 29.925
Alfonse              | 6839                | 5759                | 1.188
Hazel                | 5319                | 1885                | 2.822
Jacquie              | 75720               | 2016                | 37.560
Rosamund             | 56526               | 5384                | 10.499
Gennie               | 69003               | 8468                | 8.149
Raymond              | 66557               | 7099                | 9.376
Kiley                | 5750                | 6615                | 0.869
Charity              | 80853               | 3879                | 20.844
Holly                | 97699               | 6491                | 15.051
Yalonda              | 91395               | 3852                | 23.727
Karita               | 13864               | 9089                | 1.525
Virginie             | 92565               | 9166                | 10.099
Phelia               | 9979                | 1872                | 5.331
Faulkner             | 75663               | 2381                | 31.778
Demetris             | 89321               | 3749                | 23.825
Ryann                | 8536                | 5808                | 1.470
Dominick             | 15737               | 459                 | 34.285
Evangelia            | 34270               | 2545                | 13.466
Bruis                | 55639               | 9049                | 6.149
Aurlie               | 3125                | 4987                | 0.627
Pietra               | 60261               | 8540                | 7.056
Lory                 | 53278               | 4806                | 11.086
Harlene              | 91338               | 9640                | 9.475
Ferdinanda           | 44870               | 4088                | 10.976
Hendrick             | 61305               | 7788                | 7.872
Murry                | 64321               | 895                 | 71.867
Blinny               | 4231                | 2454                | 1.724
Agatha               | 69553               | 208                 | 334.389
Odelle               | 36776               | 169                 | 217.609
Hilario              | 21150               | 6990                | 3.026
Brena                | 86319               | 2090                | 41.301
Wilt                 | 56085               | 8062                | 6.957
Rori                 | 36202               | 4181                | 8.659
Aristotle            | 89614               | 3857                | 23.234
Marin                | 3740                | 1623                | 2.304
Justinian            | 34112               | 9477                | 3.599
Kiele                | 82135               | 2469                | 33.267
Teodoor              | 74416               | 743                 | 100.156
Lynnell              | 1752                | 4389                | 0.399
Ailbert              | 12112               | 674                 | 17.970
Reeva                | 96369               | 1134                | 84.981
Whitby               | 32036               | 9095                | 3.522
Liana                | 6761                | 9523                | 0.710
Tailor               | 74540               | 9398                | 7.931
Shawna               | 9745                | 6250                | 1.559
Jimmy                | 3211                | 7815                | 0.411
Birk                 | 40662               | 6585                | 6.175
Broddy               | 87169               | 9385                | 9.288
Nedi                 | 85228               | 1721                | 49.522
Jorrie               | 14973               | 4450                | 3.365
Sanders              | 40904               | 2711                | 15.088
Fran                 | 64597               | 5480                | 11.788
Hannah               | 68723               | 9704                | 7.082
Urbain               | 88993               | 5315                | 16.744
Katey                | 55302               | 7569                | 7.306
Nealy                | 33842               | 6061                | 5.584
Elane                | 57152               | 994                 | 57.497
Lilyan               | 48055               | 7297                | 6.586
Gabby                | 13944               | 9541                | 1.461
Teri                 | 15723               | 2618                | 6.006
Artur                | 51070               | 9014                | 5.666
Phylys               | 59598               | 7658                | 7.782
Tanya                | 16721               | 1456                | 11.484
Sioux                | 92650               | 9040                | 10.249
